,Food Index,Food,Zinc,Thiamin
0,11000000,"Milk, human",0.00017,1.4e-05
1,11100000,"Milk, NFS",0.00043,4e-05
2,11111000,"Milk, cow's, fluid, whole",0.00037,4.6e-05
3,11111100,"Milk, cow's, fluid, whole, low-sodium",0.00038,2e-05
4,11111150,"Milk, calcium fortified, cow's, fluid, whole",0.00037,4.6e-05
5,11111160,"Milk, calcium fortified, cow's, fluid, 1% fat",0.00041999999999999996,2e-05
6,11111170,"Milk, calcium fortified, cow's, fluid, skim or nonfat",0.0004,3.5999999999999994e-05
7,11112110,"Milk, cow's, fluid, 2% fat",0.00047999999999999996,3.9e-05
8,11112120,"Milk, cow's, fluid, acidophilus, 1% fat",0.00041999999999999996,2e-05
9,11112130,"Milk, cow's, fluid, acidophilus, 2% fat",0.00047999999999999996,3.9e-05
10,11112210,"Milk, cow's, fluid, 1% fat",0.00041999999999999996,2e-05
11,11113000,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",0.00041999999999999996,4.4999999999999996e-05
12,11114000,"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat",0.00035999999999999997,2.9999999999999997e-05
13,11114100,"Milk, cow's, fluid, filled with vegetable oil, whole",0.00035999999999999997,2.9999999999999997e-05
14,11114200,"Milk, cow's, fluid, filled with vegetable oil, lowfat",0.00038,3.9e-05
15,11114300,"Milk, cow's, fluid, lactose reduced, 1% fat",0.00041999999999999996,2e-05
16,11114310,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium",0.00041999999999999996,2e-05
17,11114320,"Milk, cow's, fluid, lactose reduced, nonfat",0.00041999999999999996,4.4999999999999996e-05
18,11114321,"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium",0.0004,3.5999999999999994e-05
19,11114330,"Milk, cow's, fluid, lactose reduced, 2% fat",0.00047999999999999996,3.9e-05
20,11114350,"Milk, cow's, fluid, lactose reduced, whole",0.00037,4.6e-05
21,11115000,"Buttermilk, fluid, nonfat",0.00041999999999999996,3.4e-05
22,11115100,"Buttermilk, fluid, 1% fat",0.00041999999999999996,3.4e-05
23,11115200,"Buttermilk, fluid, 2% fat",0.00023999999999999998,5e-05
24,11115300,"Buttermilk, fluid, whole",0.00038,4.7e-05
25,11116000,"Milk, goat's, fluid, whole",0.0003,4.8e-05
26,11120000,"Milk, dry, reconstituted, NFS",0.00041999999999999996,3.8e-05
27,11121100,"Milk, dry, reconstituted, whole",0.00041999999999999996,3.5000000000000004e-05
28,11121210,"Milk, dry, reconstituted, lowfat",0.00041999999999999996,3.8e-05
29,11121300,"Milk, dry, reconstituted, nonfat",0.00041999999999999996,3.8e-05
30,11122000,"Buttermilk, dry, reconstituted",0.0004,3.8e-05
31,11210050,"Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)",0.0007700000000000001,4.7e-05
32,11211050,"Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)",0.0007700000000000001,4.7e-05
33,11211400,"Milk, evaporated, 2% fat (formerly NS as to dilution)",0.00088,4.4e-05
34,11212050,"Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea)",0.0009,4.4999999999999996e-05
35,11220000,"Milk, condensed, sweetened (formerly NS as to dilution)",0.00094,8.999999999999999e-05
36,11320000,"Milk, soy, ready-to-drink, not baby's",0.00025,3.1e-05
37,11320100,"Milk, soy, light, ready-to-drink, not baby's",0.00023,3.7e-05
38,11320200,"Milk, soy, nonfat, ready-to-drink, not baby's",0.0001,2.2e-05
39,11321000,"Milk, soy, ready-to-drink, not baby's, chocolate",0.00034,2.2e-05
40,11321100,"Milk, soy, light, ready-to-drink, not baby's, chocolate",0.00023,3.7e-05
41,11321200,"Milk, soy, nonfat, ready-to-drink, not baby's, chocolate",0.0001,3.7e-05
42,11340000,"Milk, imitation, fluid, non-soy, sweetened, flavors other than chocolate",0.0001,0.0
43,11410000,"Yogurt, NS as to type of milk or flavor",0.00067,3.4e-05
44,11411010,"Yogurt, plain, NS as to type of milk",0.0008900000000000001,4.4e-05
45,11411100,"Yogurt, plain, whole milk",0.0005899999999999999,2.9e-05
46,11411200,"Yogurt, plain, lowfat milk",0.0008900000000000001,4.4e-05
47,11411300,"Yogurt, plain, nonfat milk",0.0009699999999999999,4.8e-05
48,11420000,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk",0.00083,4.2000000000000004e-05
49,11421000,"Yogurt, vanilla, lemon, or coffee flavor, whole milk",0.0008100000000000001,4.1e-05
50,11422000,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk",0.00083,4.2000000000000004e-05
51,11422100,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener",0.00083,4.2000000000000004e-05
52,11423000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk",0.00073,3.5999999999999994e-05
53,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener",0.00067,3.4e-05
54,11425000,"Yogurt, chocolate, NS as to type of milk",0.00113,4.7e-05
55,11426000,"Yogurt, chocolate, whole milk",0.0011,4.6e-05
56,11427000,"Yogurt, chocolate, nonfat milk",0.00113,4.7e-05
57,11430000,"Yogurt, fruit variety, NS as to type  of milk",0.00074,3.7e-05
58,11431000,"Yogurt, fruit variety, whole milk",0.0007199999999999999,3.5999999999999994e-05
59,11432000,"Yogurt, fruit variety, lowfat milk",0.00074,3.7e-05
60,11432500,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener",0.00082,4.1e-05
61,11433000,"Yogurt, fruit variety, nonfat milk",0.00074,4e-05
62,11433500,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.00065,3.5999999999999994e-05
63,11444000,"Yogurt, fruit and nuts, NS as to type of milk",0.0008399999999999999,5.3e-05
64,11445000,"Yogurt, fruit and nuts, lowfat milk",0.0008399999999999999,5.3e-05
65,11446000,Fruit and lowfat yogurt parfait,0.0008900000000000001,7.000000000000001e-05
66,11459990,"Yogurt, frozen, NS as to flavor, NS as to type of milk",0.00082,3.8e-05
67,11460000,"Yogurt, frozen, flavors other than chocolate, NS as to type of milk",0.00028000000000000003,4e-05
68,11460100,"Yogurt, frozen, chocolate, NS as to type of milk",0.00028000000000000003,4e-05
69,11460150,"Yogurt, frozen, NS as to flavor, lowfat milk",0.00082,3.8e-05
70,11460160,"Yogurt, frozen, chocolate, lowfat milk",0.00106,4.2000000000000004e-05
71,11460170,"Yogurt, frozen, flavors other than chocolate, lowfat milk",0.00076,3.7e-05
