,Food Index,Nutrient Index,Amount,Food
0,11000000,309,0.17,"Milk, human"
1,11000000,404,0.014,"Milk, human"
2,11100000,309,0.43,"Milk, NFS"
3,11100000,404,0.04,"Milk, NFS"
4,11111000,309,0.37,"Milk, cow's, fluid, whole"
5,11111000,404,0.046,"Milk, cow's, fluid, whole"
6,11111100,309,0.38,"Milk, cow's, fluid, whole, low-sodium"
7,11111100,404,0.02,"Milk, cow's, fluid, whole, low-sodium"
8,11111150,309,0.37,"Milk, calcium fortified, cow's, fluid, whole"
9,11111150,404,0.046,"Milk, calcium fortified, cow's, fluid, whole"
10,11111160,309,0.42,"Milk, calcium fortified, cow's, fluid, 1% fat"
11,11111160,404,0.02,"Milk, calcium fortified, cow's, fluid, 1% fat"
12,11111170,309,0.4,"Milk, calcium fortified, cow's, fluid, skim or nonfat"
13,11111170,404,0.036,"Milk, calcium fortified, cow's, fluid, skim or nonfat"
14,11112110,309,0.48,"Milk, cow's, fluid, 2% fat"
15,11112110,404,0.039,"Milk, cow's, fluid, 2% fat"
16,11112120,309,0.42,"Milk, cow's, fluid, acidophilus, 1% fat"
17,11112120,404,0.02,"Milk, cow's, fluid, acidophilus, 1% fat"
18,11112130,309,0.48,"Milk, cow's, fluid, acidophilus, 2% fat"
19,11112130,404,0.039,"Milk, cow's, fluid, acidophilus, 2% fat"
20,11112210,309,0.42,"Milk, cow's, fluid, 1% fat"
21,11112210,404,0.02,"Milk, cow's, fluid, 1% fat"
22,11113000,309,0.42,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat"
23,11113000,404,0.045,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat"
24,11114000,309,0.36,"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat"
25,11114000,404,0.03,"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat"
26,11114100,309,0.36,"Milk, cow's, fluid, filled with vegetable oil, whole"
27,11114100,404,0.03,"Milk, cow's, fluid, filled with vegetable oil, whole"
28,11114200,309,0.38,"Milk, cow's, fluid, filled with vegetable oil, lowfat"
29,11114200,404,0.039,"Milk, cow's, fluid, filled with vegetable oil, lowfat"
30,11114300,309,0.42,"Milk, cow's, fluid, lactose reduced, 1% fat"
31,11114300,404,0.02,"Milk, cow's, fluid, lactose reduced, 1% fat"
32,11114310,309,0.42,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium"
33,11114310,404,0.02,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium"
34,11114320,309,0.42,"Milk, cow's, fluid, lactose reduced, nonfat"
35,11114320,404,0.045,"Milk, cow's, fluid, lactose reduced, nonfat"
36,11114321,309,0.4,"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium"
37,11114321,404,0.036,"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium"
38,11114330,309,0.48,"Milk, cow's, fluid, lactose reduced, 2% fat"
39,11114330,404,0.039,"Milk, cow's, fluid, lactose reduced, 2% fat"
40,11114350,309,0.37,"Milk, cow's, fluid, lactose reduced, whole"
41,11114350,404,0.046,"Milk, cow's, fluid, lactose reduced, whole"
42,11115000,309,0.42,"Buttermilk, fluid, nonfat"
43,11115000,404,0.034,"Buttermilk, fluid, nonfat"
44,11115100,309,0.42,"Buttermilk, fluid, 1% fat"
45,11115100,404,0.034,"Buttermilk, fluid, 1% fat"
46,11115200,309,0.24,"Buttermilk, fluid, 2% fat"
47,11115200,404,0.05,"Buttermilk, fluid, 2% fat"
48,11115300,309,0.38,"Buttermilk, fluid, whole"
49,11115300,404,0.047,"Buttermilk, fluid, whole"
50,11116000,309,0.3,"Milk, goat's, fluid, whole"
51,11116000,404,0.048,"Milk, goat's, fluid, whole"
52,11120000,309,0.42,"Milk, dry, reconstituted, NFS"
53,11120000,404,0.038,"Milk, dry, reconstituted, NFS"
54,11121100,309,0.42,"Milk, dry, reconstituted, whole"
55,11121100,404,0.035,"Milk, dry, reconstituted, whole"
56,11121210,309,0.42,"Milk, dry, reconstituted, lowfat"
57,11121210,404,0.038,"Milk, dry, reconstituted, lowfat"
58,11121300,309,0.42,"Milk, dry, reconstituted, nonfat"
59,11121300,404,0.038,"Milk, dry, reconstituted, nonfat"
60,11122000,309,0.4,"Buttermilk, dry, reconstituted"
61,11122000,404,0.038,"Buttermilk, dry, reconstituted"
62,11210050,309,0.77,"Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)"
63,11210050,404,0.047,"Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)"
64,11211050,309,0.77,"Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)"
65,11211050,404,0.047,"Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)"
66,11211400,309,0.88,"Milk, evaporated, 2% fat (formerly NS as to dilution)"
67,11211400,404,0.044,"Milk, evaporated, 2% fat (formerly NS as to dilution)"
68,11212050,309,0.9,"Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea)"
69,11212050,404,0.045,"Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea)"
70,11220000,309,0.94,"Milk, condensed, sweetened (formerly NS as to dilution)"
